AcctCode;AcctName
195301;INTERESES, REGALÍAS Y DIVIDENDOS
195401;DEPÓSITOS OTORGADOS EN GARANTÍA
195501;VENTA DE ACTIVO INMOVILIZADO
195601;ACTIVOS POR INSTRUMENTOS FINANCIEROS
195901;OTRAS CUENTAS POR COBRAR DIVERSAS
201101;MERCADERÍAS MANUFACTURADAS
201102;MERCADERIA ALMACENADA
201111;MERCADERÍAS MANUFACTURADAS
201112;MERCADERIA ALMACENADA
201113;MERCADERÍAS MANUFACTURADAS - ADUANERO
201114;MERCADERIA DESVALORIZADA
201115;OTRAS MERCADERIAS
201141;MERCADERÍAS MANUFACTURADAS
202101;MERCADERÍAS MANUFACTURADAS - ADUANERO
203101;MERCADERÍAS EN PROCESO DE COSTEO
208101;OTRAS MERCADERIAS
209101;MERCADERIA DESVALORIZADA
211101;PRODUCTOS MANUFACTURADOS
211111;COSTO
211131;COSTO DE FINANCIACIÓN
211141;VALOR RAZONABLE
214101;PRODUCTOS INMUEBLES
215111;COSTO
231101;PRODUCTOS EN PROCESO DE MANUFACTURA
231102;PRODUCTOS INMUEBLES EN PROCESO
231111;PRODUCTOS EN PROCESO DE MANUFACTURA
235101;SERVICIOS EN PROCESO
235111;SERVICIOS EN PROCESO
239901;PRODUCTOS EN PROCESO MANUFACTURA PARA DESVIACIÓN
241101;MATERIAS PRIMAS PARA PRODUCTOS MANUFACTURADOS
241102;MATERIAS PRIMAS PARA PRODUCTOS INMUEBLES
241111;MATERIAS PRIMAS PARA PRODUCTOS MANUFACTURADOS
251101;SUMINISTROS
251102;REPUESTOS
251103;MATERIALES DE SEGURIDAD
251104;UTILES DE COMPUTADORA
251105;UTILES DE ASEO - LIMPIEZA
251106;UTILES ESCRITORIO-ADMINISTRACION
252401;OTROS SUMINISTROS
253101;REPUESTOS
261101;ENVASES
261102;EMBALAJES
271101;TERRENOS
271111;TERRENOS - COSTO
271121;TERRENOS - REVALUACIÓN
271141;TERRENOS - VALOR RAZONABLE
271201;EDIFICACIONES
271211;EDIFICACIONES - COSTO
271221;EDIFICACIONES - REVALUACIÓN
271231;EDIFICACIONES - COSTOS DE FINANCIACIÓN
271241;EDIFICACIONES - VALOR RAZONABLE
272101;TERRENOS
272102;EQUIPO DE TRANSPORTE
272201;EDIFICACIONES
272211;TERRENOS - COSTO
272221;TERRENOS - REVALUACIÓN
272301;MAQUINARIA Y EQUIPO
272311;EDIFICACIONES - COSTO
272321;EDIFICACIONES - REVALUACIÓN
272331;EDIFICACIONES - COSTO DE FINANCIACIÓN
272411;MAQUINARIAS Y EQUIPOS DE EXPLOTACIÓN - COSTO
272421;MAQUINARIAS Y EQUIPOS DE EXPLOTACIÓN - REVALUACIÓN
272511;UNIDADES DE TRANSPORTE - COSTO
272521;UNIDADES DE TRANSPORTE - REVALUACIÓN
272611;MUEBLES Y ENSERES - COSTO
272621;MUEBLES Y ENSERES - REVALUACIÓN
272711;EQUIPOS DIVERSOS - COSTO
272721;EQUIPOS DIVERSOS - REVALUACIÓN
272811;HERRAMIENTAS Y UNIDADES DE REEMPLAZO - COSTO
272821;HERRAMIENTAS Y UNIDADES DE REEMPLAZO - REVALUACIÓN
272911;OBRAS EN CURSO - COSTO
272921;OBRAS EN CURSO - REVALUACIÓN
281101;FACTURA DE RESERVA
281102;COSTOS ADICIONALES
281103;COSTOS MANO DE OBRA
281104;COSTO DE PROYECTOS
281105;FACTURA DE RESERVA POLITHANE
281106;COSTOS ADICIONALES LOCALES
281107;TRANSFERENCIA ALMACEN
281108;MERCADERIA EN TRANSITO ADUANERA
281109;COSTO CHOFERES
281110;COSTO DE SERVICIOS
281111;CUENTA PUENTE TRANSFERENCIAS STOCK
291101;PROVISIÓN PARA DESVALORIZACIÓN DE EXISTENCIAS
291111;PROVISIÓN PARA DESVALORIZACIÓN DE EXISTENCIAS
302301;SUBSIDIARIAS, ASOCIADAS Y SUCURSALES
302302;OTRAS
302311;SUBSIDIARIAS, ASOCIADAS Y SUCURSALES
302312;OTRAS
309201;INSTRUMENTOS FINANCIEROS REPRESENTATIVOS DE DERECHO PATRIMONIAL
311101;TERRENOS URBANOS COSTO
311102;TERRENOS URBANOS REVALUACIÓN
311111;TERRENOS URBANOS COSTO
311121;TERRENOS URBANOS REVALUACIÓN
311141;TERRENOS URBANOS VALOR RAZONABLE
312101;EDIFICACIONES COSTO
312102;EDIFICACIONES REVALUACIÓN
312111;EDIFICACIONES COSTO
312121;EDIFICACIONES REVALUACIÓN
321101;INVERSIONES INMOBILIARIAS LEASING TERRENOS
321201;INVERSIONES INMOBILIARIAS LEASING EDIFICACIONES
321211;INVERSIONES INMOBILIARIAS LEASING EDIFICACIONES COSTO
321221;INVERSIONES INMOBILIARIAS LEASING EDIFICACIONES REVALUACIÓN
321231;COSTO DE FINANCIACIÓN
321241;VALOR RAZONABLE
322101;TERRENOS
322201;LEASING EDIFICACIONES
322211;LEASING TERRENOS COSTO
322301;MAQUINARIAS Y EQUIPOS DE EXPLOTACIÓN
322311;LEASING EDIFICACIONES COSTO
322321;REVALUACIÓN
322331;COSTO DE FINANCIACIÓN
